participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w0,kappa
5,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.962969,0.000200637
6,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.0131675,0.000200637
8,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.952949,0.000200637
9,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.364743,0.000200637
11,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.617409,0.000200637
12,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.518815,0.000200637
17,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.466068,0.000200637
19,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.931649,0.000200637
25,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.411007,0.000200637
26,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.00517313,0.000200637
28,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.868337,0.000200637
30,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.879226,0.000200637
31,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.0337369,0.000200637
35,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.144431,0.000200637
37,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.722583,0.000200637
39,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.0686369,0.000200637
40,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.328682,0.000200637
43,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.601448,0.000200637
44,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.616658,0.000200637
45,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.974643,0.000200637
46,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.935669,0.000200637
47,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.325728,0.000200637
49,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.647283,0.000200637
50,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.0838066,0.000200637
52,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.333458,0.000200637
53,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.847808,0.000200637
57,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.0603336,0.000200637
58,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.922317,0.000200637
59,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.805398,0.000200637
60,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.7139,0.000200637
63,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.632024,0.000200637
64,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.109448,0.000200637
67,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.916659,0.000200637
69,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.904182,0.000200637
72,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.0661584,0.000200637
73,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.946868,0.000200637
75,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.218711,0.000200637
77,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.93398,0.000200637
78,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.160947,0.000200637
79,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.871674,0.000200637
80,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.166797,0.000200637
81,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.252311,0.000200637
84,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.445939,0.000200637
87,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.933579,0.000200637
89,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.278728,0.000200637
96,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.840764,0.000200637
97,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.840878,0.000200637
98,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.963514,0.000200637
