participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w,decay_rate
5,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.65428,0.987428
6,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.0172013,0.987428
8,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.586633,0.987428
9,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.447501,0.987428
11,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.736661,0.987428
12,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.947082,0.987428
17,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.382097,0.987428
19,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.347034,0.987428
25,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.619103,0.987428
26,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.0859446,0.987428
28,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.527893,0.987428
30,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.441041,0.987428
31,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.0459657,0.987428
35,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.656771,0.987428
37,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.682605,0.987428
39,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.283981,0.987428
40,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.780284,0.987428
43,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.972837,0.987428
44,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.363148,0.987428
45,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.552767,0.987428
46,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.903333,0.987428
47,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.499707,0.987428
49,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.608511,0.987428
50,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.229854,0.987428
52,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.465845,0.987428
53,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.850545,0.987428
57,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.0573701,0.987428
58,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.717689,0.987428
59,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.723914,0.987428
60,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.618572,0.987428
63,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.694801,0.987428
64,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.0089143,0.987428
67,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.790206,0.987428
69,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.556215,0.987428
72,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.0761044,0.987428
73,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.884577,0.987428
75,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.380147,0.987428
77,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.918569,0.987428
78,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.300137,0.987428
79,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.465944,0.987428
80,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.724772,0.987428
81,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.987244,0.987428
84,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.870048,0.987428
87,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.493124,0.987428
89,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.554611,0.987428
96,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.480737,0.987428
97,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.179417,0.987428
98,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.376193,0.987428
